FOREST_COVER1,PCP1,FOREST_COVER2,PCP2,FOREST_COVER3,PCP3,FOREST_COVER4,PCP4,FOREST_COVER5,PCP5,FOREST_COVER6,PCP6,FOREST_COVER7,PCP7,FOREST_COVER8,PCP8,FOREST_COVER9,PCP9,FOREST_COVER10,PCP10,FOREST_COVER11,PCP11,FOREST_COVER12,PCP12,FOREST_COVER13,PCP13,FOREST_COVER14,PCP14,FOREST_COVER15,PCP15,FOREST_COVER16,PCP16,FOREST_COVER17,PCP17,FOREST_COVER18,PCP18,FOREST_COVER19,PCP19,FOREST_COVER20,PCP20,FOREST_COVER21,PCP21,FOREST_COVER22,PCP22,FOREST_COVER23,PCP23,FOREST_COVER24,PCP24,FOREST_COVER25,PCP25,FOREST_COVER26,PCP26,FOREST_COVER27,PCP27,FOREST_COVER28,PCP28,FOREST_COVER29,PCP29,FOREST_COVER30,PCP30,FOREST_COVER31,PCP31
23.159,918.9,27.389,918.9,39.676,918.9,26.09,918.9,45.949,918.9,70.986,918.9,22.576,918.9,32.63,918.9,15.922,918.9,52.293,786.5,28.871,918.9,26.502,786.5,53.405,918.9,11.389,918.9,13.36,786.5,15.396,786.5,22.471,786.5,7.379,786.5,13.159,786.5,4.032,918.9,34.222,786.5,30.666,918.9,9.166,786.5,24.661,786.5,15.341,867.6,8.667,806.4,37.559,806.401,20.993,806.4,34.855,806.4,48.108,806.4,46.108,806.4
23.159,949.4,27.389,949.4,39.676,949.399,26.09,949.4,45.949,949.4,70.986,949.4,22.576,949.4,32.63,949.4,15.922,949.4,52.293,930.1,28.871,949.4,26.502,930.1,53.405,949.4,11.389,949.4,13.36,930.1,15.396,930.1,22.471,930.101,7.379,930.1,13.159,930.1,4.032,949.4,34.222,930.1,30.666,949.4,9.166,930.1,24.661,930.1,15.341,916.7,8.667,901.5,37.559,901.501,20.993,901.5,34.855,901.5,48.108,901.501,46.108,901.5
23.159,1201.7,27.389,1201.7,39.676,1201.699,26.09,1201.7,45.949,1201.7,70.986,1201.7,22.576,1201.7,32.63,1201.7,15.922,1201.7,52.293,1140.4,28.871,1201.7,26.502,1140.4,53.405,1201.7,11.389,1201.7,13.36,1140.401,15.396,1140.4,22.471,1140.401,7.379,1140.4,13.159,1140.4,4.032,1201.7,34.222,1140.4,30.666,1201.7,9.166,1140.4,24.661,1140.401,15.341,1171.0,8.667,1088.3,37.559,1088.301,20.993,1088.3,34.855,1088.3,48.108,1088.301,46.108,1088.3
23.159,946.0,27.389,946.0,39.676,946.0,26.09,946.0,45.949,946.0,70.986,946.0,22.576,946.0,32.63,946.0,15.922,946.0,52.293,966.4,28.871,946.0,26.502,966.4,53.405,946.0,11.389,946.0,13.36,966.4,15.396,966.4,22.471,966.4,7.379,966.4,13.159,966.4,4.032,946.0,34.222,966.4,30.666,946.0,9.166,966.4,24.661,966.401,15.341,970.9,8.667,866.7,37.559,866.701,20.993,866.7,34.855,866.7,48.108,866.701,46.108,866.7
23.159,1056.7,27.389,1056.7,39.676,1056.7,26.09,1056.7,45.949,1056.7,70.986,1056.7,22.576,1056.7,32.63,1056.7,15.922,1056.7,52.293,1158.6,28.871,1056.7,26.502,1158.6,53.405,1056.7,11.389,1056.7,13.36,1158.601,15.396,1158.6,22.471,1158.6,7.379,1158.6,13.159,1158.6,4.032,1056.7,34.222,1158.6,30.666,1056.7,9.166,1158.599,24.661,1158.601,15.341,1001.1,8.667,932.5,37.559,932.501,20.993,932.5,34.855,932.5,48.108,932.501,46.108,932.5
23.159,1171.4,27.389,1171.401,39.676,1171.399,26.09,1171.4,45.949,1171.4,70.986,1171.4,22.576,1171.4,32.63,1171.4,15.922,1171.4,52.293,1120.901,28.871,1171.4,26.502,1120.9,53.405,1171.4,11.389,1171.4,13.36,1120.901,15.396,1120.9,22.471,1120.901,7.379,1120.9,13.159,1120.9,4.032,1171.4,34.222,1120.9,30.666,1171.4,9.166,1120.9,24.661,1120.901,15.341,1166.0,8.667,1166.0,37.559,1166.001,20.993,1166.0,34.855,1166.0,48.108,1166.001,46.108,1166.0
23.159,904.2,27.389,904.2,39.676,904.2,26.09,904.2,45.949,904.2,70.986,904.2,22.576,904.2,32.63,904.2,15.922,904.2,52.293,942.7,28.871,904.2,26.502,942.7,53.405,904.2,11.389,904.2,13.36,942.7,15.396,942.7,22.471,942.701,7.379,942.7,13.159,942.7,4.032,904.2,34.222,942.7,30.666,904.2,9.166,942.7,24.661,942.7,15.341,948.4,8.667,948.4,37.559,948.401,20.993,948.4,34.855,948.4,48.108,948.401,46.108,948.4
23.159,1082.7,27.389,1082.7,39.676,1082.699,26.09,1082.7,45.949,1082.7,70.986,1082.7,22.576,1082.7,32.63,1082.7,15.922,1082.7,52.293,920.2,28.871,1082.7,26.502,920.2,53.405,1082.7,11.389,1082.7,13.36,920.2,15.396,920.2,22.471,920.201,7.379,920.2,13.159,920.2,4.032,1082.7,34.222,920.2,30.666,1082.7,9.166,920.2,24.661,920.2,15.341,1025.6,8.667,1025.6,37.559,1025.601,20.993,1025.6,34.855,1025.6,48.108,1025.601,46.108,1025.6
23.159,1071.8,27.389,1071.8,39.676,1071.799,26.09,1071.8,45.949,1071.8,70.986,1071.8,22.576,1071.8,32.63,1071.8,15.922,1071.8,52.293,945.0,28.871,1071.8,26.502,945.0,53.405,1071.8,11.389,1071.8,13.36,945.0,15.396,945.0,22.471,945.0,7.379,945.0,13.159,945.0,4.032,1071.8,34.222,945.0,30.666,1071.8,9.166,945.0,24.661,945.0,15.341,948.7,8.667,948.7,37.559,948.701,20.993,948.7,34.855,948.7,48.108,948.701,46.108,948.7
23.159,1205.4,27.389,1205.401,39.676,1205.399,26.09,1205.4,45.949,1205.4,70.986,1205.4,22.576,1205.4,32.63,1205.4,15.922,1205.4,52.293,1182.8,28.871,1205.4,26.502,1182.8,53.405,1205.4,11.389,1205.4,13.36,1182.801,15.396,1182.8,22.471,1182.8,7.379,1182.8,13.159,1182.8,4.032,1205.4,34.222,1182.8,30.666,1205.4,9.166,1182.799,24.661,1182.801,15.341,1070.4,8.667,1070.4,37.559,1070.401,20.993,1070.4,34.855,1070.401,48.108,1070.401,46.108,1070.4
23.159,868.1,27.389,868.1,39.676,868.099,26.09,868.1,45.949,868.1,70.986,868.1,22.576,868.1,32.63,868.1,15.922,868.1,52.293,756.3,28.871,868.1,26.502,756.3,53.405,868.1,11.389,868.1,13.36,756.3,15.396,756.3,22.471,756.3,7.379,756.3,13.159,756.3,4.032,868.1,34.222,756.3,30.666,868.1,9.166,756.3,24.661,756.3,15.341,802.2,8.667,802.2,37.559,802.201,20.993,802.2,34.855,802.2,48.108,802.201,46.108,802.2
23.159,994.6,27.389,994.6,39.676,994.599,26.09,994.6,45.949,994.6,70.986,994.6,22.576,994.6,32.63,994.6,15.922,994.6,52.293,900.4,28.871,994.6,26.502,900.4,53.405,994.6,11.389,994.6,13.36,900.4,15.396,900.4,22.471,900.401,7.379,900.4,13.159,900.4,4.032,994.6,34.222,900.4,30.666,994.6,9.166,900.4,24.661,900.4,15.341,876.9,8.667,876.9,37.559,876.901,20.993,876.9,34.855,876.9,48.108,876.901,46.108,876.9
23.159,1144.0,27.389,1144.0,39.676,1144.0,26.09,1144.0,45.949,1144.0,70.986,1144.0,22.576,1144.0,32.63,1144.0,15.922,1144.0,52.293,1040.6,28.871,1144.0,26.502,1040.6,53.405,1144.0,11.389,1144.0,13.36,1040.6,15.396,1040.6,22.471,1040.6,7.379,1040.6,13.159,1040.6,4.032,1144.0,34.222,1040.6,30.666,1144.0,9.166,1040.6,24.661,1040.601,15.341,1071.401,8.667,1071.4,37.559,1071.401,20.993,1071.4,34.855,1071.4,48.108,1071.401,46.108,1071.4
23.159,1007.7,27.389,1007.7,39.676,1007.699,26.09,1007.7,45.949,1007.7,70.986,1007.7,22.576,1007.7,32.63,1007.7,15.922,1007.7,52.293,970.4,28.871,1007.7,26.502,970.4,53.405,1007.7,11.389,1007.7,13.36,970.4,15.396,970.4,22.471,970.4,7.379,970.4,13.159,970.4,4.032,1007.7,34.222,970.4,30.666,1007.7,9.166,970.4,24.661,970.401,15.341,1044.301,8.667,1044.3,37.559,1044.301,20.993,1044.3,34.855,1044.3,48.108,1044.301,46.108,1044.3
23.159,1149.1,27.389,1149.1,39.676,1149.099,26.09,1149.1,45.949,1149.1,70.986,1149.1,22.576,1149.1,32.63,1149.1,15.922,1149.1,52.293,1031.6,28.871,1149.1,26.502,1031.6,53.405,1149.1,11.389,1149.1,13.36,1031.601,15.396,1031.6,22.471,1031.601,7.379,1031.6,13.159,1031.6,4.032,1149.1,34.222,1031.6,30.666,1149.1,9.166,1031.599,24.661,1031.6,15.341,1169.601,8.667,1169.6,37.559,1169.601,20.993,1169.6,34.855,1169.6,48.108,1169.601,46.108,1169.6
23.159,1301.4,27.389,1301.401,39.676,1301.399,26.09,1301.4,45.949,1301.4,70.986,1301.4,22.576,1301.4,32.63,1301.4,15.922,1301.4,52.293,1162.301,28.871,1301.4,26.502,1162.3,53.405,1301.4,11.389,1301.4,13.36,1162.301,15.396,1162.3,22.471,1162.301,7.379,1162.3,13.159,1162.3,4.032,1301.4,34.222,1162.3,30.666,1301.4,9.166,1162.3,24.661,1162.301,15.341,1133.401,8.667,1133.4,37.559,1133.401,20.993,1133.4,34.855,1133.4,48.108,1133.401,46.108,1133.4
23.159,900.5,27.389,900.5,39.676,900.5,26.09,900.5,45.949,900.5,70.986,900.5,22.576,900.5,32.63,900.5,15.922,900.5,52.293,900.5,28.871,900.5,26.502,900.5,53.405,900.5,11.389,900.5,13.36,900.5,15.396,900.5,22.471,900.5,7.379,900.5,13.159,900.5,4.032,900.5,34.222,900.5,30.666,900.5,9.166,900.5,24.661,900.5,15.341,900.5,8.667,900.5,37.559,900.501,20.993,900.5,34.855,900.5,48.108,900.501,46.108,900.5
23.159,998.2,27.389,998.2,39.676,998.2,26.09,998.2,45.949,998.2,70.986,998.2,22.576,998.2,32.63,998.2,15.922,998.2,52.293,998.2,28.871,998.2,26.502,998.2,53.405,998.2,11.389,998.2,13.36,998.201,15.396,998.2,22.471,998.201,7.379,998.2,13.159,998.2,4.032,998.2,34.222,998.2,30.666,998.2,9.166,998.2,24.661,998.201,15.341,998.201,8.667,998.2,37.559,998.201,20.993,998.2,34.855,998.2,48.108,998.201,46.108,998.2
23.159,892.6,27.389,892.6,39.676,892.6,26.09,892.6,45.949,892.6,70.986,892.6,22.576,892.6,32.63,892.6,15.922,892.6,52.293,892.6,28.871,892.6,26.502,892.6,53.405,892.6,11.389,892.6,13.36,892.6,15.396,892.6,22.471,892.6,7.379,892.6,13.159,892.6,4.032,892.6,34.222,892.6,30.666,892.6,9.166,892.6,24.661,892.6,15.341,892.6,8.667,892.6,37.559,892.601,20.993,892.6,34.855,892.6,48.108,892.601,46.108,892.6
23.159,952.9,27.389,952.9,39.676,952.9,26.09,952.9,45.949,952.9,70.986,952.9,22.576,952.9,32.63,952.9,15.922,952.9,52.293,952.9,28.871,952.9,26.502,952.9,53.405,952.9,11.389,952.9,13.36,952.9,15.396,952.9,22.471,952.901,7.379,952.9,13.159,952.9,4.032,952.9,34.222,952.9,30.666,952.9,9.166,952.9,24.661,952.9,15.341,952.901,8.667,952.9,37.559,952.901,20.993,952.9,34.855,952.9,48.108,952.901,46.108,952.9
23.159,827.8,27.389,827.8,39.676,827.8,26.09,827.8,45.949,827.8,70.986,827.8,22.576,827.8,32.63,827.8,15.922,827.8,52.293,827.8,28.871,827.8,26.502,827.8,53.405,827.8,11.389,827.8,13.36,827.8,15.396,827.8,22.471,827.8,7.379,827.8,13.159,827.8,4.032,827.8,34.222,827.8,30.666,827.8,9.166,827.8,24.661,827.8,15.341,827.8,8.667,827.8,37.559,827.801,20.993,827.8,34.855,827.8,48.108,827.801,46.108,827.8
