,FLOW_OUTcms,EVAPcms,TLOSScms,SED_OUTtons,SEDCONCmgL,ORGN_OUTkg,ORGP_OUTkg,NO3_OUTkg,NH4_OUTkg,NO2_OUTkg,MINP_OUTkg,CHLA_OUTkg,CBOD_OUTkg,DISOX_OUTkg,TOTNkg
accuracy,0.77453974177041,0.9697462141575514,0.9849085443489066,0.9669386142355473,0.9550856665204039,0.9485722009887052,0.8288877495883687,0.960748053541662,0.9505648610245114,0.9166867771433014,0.9692740147487756,0.9709013616816519,0.9707570596314152,0.9234165773438077,0.9172299325385997
standard deviation,0.2294149291032354,0.03342663731811072,0.015783200164635483,0.031369149259199765,0.04719784299228629,0.0513537106801331,0.21551718529974206,0.03156239767529165,0.04504648732478451,0.08570031297945056,0.027323554055449954,0.02554074062863536,0.02727914422698616,0.07587513874148259,0.09975026057106322
